race_id,race_name,race_date,reported_finishers,latitude,longitude,timezone,start_time_local,location_source,review_status
m23r_8240d89e843a,NYC Marathon,2023-11-05,51295,,,,,,unresolved
m23r_728c55d0ffa0,Chicago Marathon,2023-10-08,48574,,,,,,unresolved
m23r_94ce36b5cc0c,Boston Marathon,2023-04-17,26600,,,,,,unresolved
m23r_c847012b6f1d,LA Marathon,2023-03-19,16973,,,,,,unresolved
m23r_947716001b8a,Honolulu Marathon,2023-12-10,15044,,,,,,unresolved
m23r_c7e03026f9d9,Marine Corps Marathon,2023-10-29,13662,,,,,,unresolved
m23r_e16a3ab20671,Disney World Marathon,2023-01-08,12690,,,,,,unresolved
m23r_8018ee98af7f,Philadelphia Marathon,2023-11-19,11412,,,,,,unresolved
m23r_de90b0d1ada2,California International Marathon,2023-12-03,9183,,,,,,unresolved
m23r_a68a211a4158,Grandma's Marathon,2023-06-17,7182,,,,,,unresolved
m23r_cbfc0fae2151,Houston Marathon,2023-01-15,6105,,,,,,unresolved
m23r_5d80f30f0a6e,The San Francisco Marathon,2023-07-23,4883,,,,,,unresolved
m23r_f0c6f78632d5,Cincinnati Flying Pig Marathon,2023-05-07,4489,,,,,,unresolved
m23r_5ab9d458104a,Indianapolis Monumental Marathon,2023-10-28,4214,,,,,,unresolved
m23r_aebc7fd73741,Richmond Marathon,2023-11-11,4083,,,,,,unresolved
m23r_b46ac47414f0,St. George Marathon,2023-10-07,3815,,,,,,unresolved
m23r_e31c063e3b8c,Big Sur International Marathon,2023-04-30,3633,,,,,,unresolved
m23r_603df8447276,Dallas Marathon,2023-12-10,3377,,,,,,unresolved
m23r_7d197b523184,Austin Marathon,2023-02-19,3192,,,,,,unresolved
m23r_7cb142d3a10e,Detroit International Marathon,2023-10-15,3080,,,,,,unresolved
m23r_afd4f76f6202,Columbus Marathon,2023-10-15,3006,,,,,,unresolved
m23r_a9da31df2f64,Pittsburgh Marathon,2023-05-07,3000,,,,,,unresolved
m23r_fb9e2a05c5f3,Miami Marathon,2023-01-29,2744,,,,,,unresolved
m23r_090236b8f51e,Bataan Memorial Death March,2023-03-19,2615,,,,,,unresolved
m23r_26ac7d326c8d,Long Beach Marathon,2023-10-15,2516,,,,,,unresolved
m23r_e93d044c62a8,RnR Nashville Marathon,2023-04-22,2328,,,,,,unresolved
m23r_eecf7485d256,Portland Oregon Marathon,2023-10-01,2255,,,,,,unresolved
m23r_c9b6fa7cb468,OC Marathon,2023-05-07,2061,,,,,,unresolved
m23r_9c26a4b647bf,Eugene Marathon,2023-04-30,2038,,,,,,unresolved
m23r_c739d8a02f19,Jersey City Marathon,2023-04-23,1934,,,,,,unresolved
m23r_4a26ad833ee3,Phoenix Marathon,2023-02-04,1926,,,,,,unresolved
m23r_fbc9be6ce4e3,Memphis Marathon,2023-12-02,1921,,,,,,unresolved
